"","rn","CCNB1_cor_pro","CCNB1_cor_cna"
"230","CCNB1",1,1
"229","KIF4B",0.544946664277717,0.857367733492548
"228","WDR36",0.378793781689656,0.968226085496085
"227","DHFR",0.366341662951666,0.993593399293976
"226","GFPT2",0.291059168533475,0.826241358621422
"225","DDX41",0.282427636840324,0.768973828692267
"224","RPS23",0.276343933219694,0.993593399293976
"223","SMN2",0.245235730575024,0.974652670483882
"222","UTP15",0.242742510467207,0.981043289080039
"221","CSNK1A1",0.240531660569636,0.918175543371172
"220","PELO",0.230736985260412,0.794987020528096
"219","RPS14",0.222421170213031,0.918175543371172
"218","HOMER1",0.220838835247626,0.993593399293976
"217","XRCC4",0.219879212744067,0.994037692601899
"216","DBN1",0.216703859776098,0.768973828692267
"215","PAIP2",0.194752323587245,0.880639647833856
"214","DDX46",0.191670277530859,0.953009860326552
"213","LMNB1",0.190862550219834,0.946855442565866
"212","THOC3",0.181462949635472,0.782386832195682
"211","TCERG1",0.173532306475087,0.931299602682093
"210","AFF4",0.173054114851141,0.959840776398792
"209","GNB2L1",0.171257315928505,0.832461134432107
"208","GEMIN5",0.168125935204334,0.857367733492548
"207","CDK7",0.166789999205177,1
"206","NOP16",0.154367232572925,0.782386832195682
"205","HNRNPH1",0.15436269793155,0.813161956015396
"204","DDX4",0.153534603460223,0.960564447599986
"203","IPO11",0.149223299695554,0.989325421594347
"202","BRD8",0.146276934404328,0.897756509092039
"201","DIAPH1",0.144798794003023,0.88457439075668
"200","P4HA2",0.140786989813405,0.967532142113366
"199","NLN",0.140683400208027,0.99948057921364
"198","RIOK2",0.13502467418017,0.981252303942324
"197","LARP1",0.13274606535666,0.857367733492548
"196","SKIV2L2",0.1295250186899,0.960564447599986
"195","TBCA",0.123081424021279,0.993593399293976
"194","MZB1",0.121619162172191,0.880639647833856
"193","DIMT1",0.121214029914781,0.989325421594347
"192","KIF2A",0.120440579204051,0.965519093215168
"191","PHAX",0.118449710694681,0.946855442565866
"190","NAIP",0.10879749995675,0.974652670483882
"189","CCNH",0.105057787471614,0.994025514872035
"188","ITGA2",0.101696946128721,0.794987020528096
"187","PPWD1",0.098691204028935,0.987183529574946
"186","MRPS27",0.0944754579344799,0.978804382380672
"185","SIL1",0.08872033922156,0.886417894341728
"184","ACSL6",0.0834328941936039,0.967532142113366
"183","RBM27",0.0820561410639111,0.931299602682093
"182","PPIC",0.0739361592857702,0.947028118513763
"181","TAF9",0.0716726632317238,1
"180","TCOF1",0.0694738329562039,0.918175543371172
"179","LARS",0.0634715496560716,0.931299602682093
"178","SRFBP1",0.0619569884970668,0.947028118513763
"177","RBM22",0.0604222166282359,0.8937942481658
"176","MATR3",0.0551802371128297,0.886417894341728
"175","G3BP1",0.0531339866739668,0.871916003399671
"174","SGTB",0.05200211284806,0.99948057921364
"173","MAP1B",0.0510920683523311,0.978804382380672
"172","PFDN1",0.0495053620821332,0.864510661279815
"171","UBE2D2",0.0482404164952336,0.864510661279815
"170","CWC27",0.0460521452984641,0.987183529574946
"169","TNFAIP8",0.0423881673021322,0.967032303176292
"168","CHD1",0.0394242100741178,0.981219584899388
"167","LYRM7",0.0328333020021382,0.972593703074031
"166","CKMT2",0.0244712686866744,0.993593399293976
"165","PIK3R1",0.0198611441376984,0.999509971007107
"164","MOCS2",0.0117313219709422,0.794987020528096
"163","WWC1",0.0107515975248134,0.796327902710766
"162","CTNNA1",0.00762036547660172,0.886417894341728
"161","HDAC3",0.00200587512909308,0.88457439075668
"160","SEC24A",0.00156381654126094,0.967486156001575
"159","RNF14",0.000677249916237869,0.884578487584681
"158","HSPA9",-0.00230706173451418,0.886417894341728
"157","GTF2H2C",-0.00530483561097027,0.974652670483882
"156","HARS",-0.007522603415836,0.881449409325343
"155","TTC1",-0.00889375104071953,0.872725822656162
"154","ACTBL2",-0.0104969468201008,0.960634697039317
"153","DOK3",-0.0176637216773704,0.768973828692267
"152","MRPL22",-0.0178329029064478,0.857367733492548
"151","GZMA",-0.0182949404219745,0.949614681487224
"150","GTF2H2",-0.0202484537529635,0.974652670483882
"149","GRK6",-0.02090631461237,0.768973828692267
"148","PDE4D",-0.0218781413709639,0.943525350102129
"147","ETF1",-0.0224922615617197,0.886417894341728
"146","SLU7",-0.0248164445010995,0.872745051396048
"145","MSH3",-0.0275050123846757,0.993593399293976
"144","CD74",-0.0277883395700768,0.918175543371172
"143","IK",-0.0310763277149645,0.881449409325343
"142","TGFBI",-0.0352116332058035,0.921356027547053
"141","KDM3B",-0.0364189158505395,0.886417894341728
"140","COX7C",-0.0368280225990635,0.994037692601899
"139","ERAP1",-0.0384122639820246,0.97509662175644
"138","HSD17B4",-0.0384174630332424,0.967032303176292
"137","ZMAT2",-0.0438485161355319,0.881449409325343
"136","SMAD5",-0.0461841468771808,0.921356027547053
"135","GFM2",-0.0476107525020317,0.99365465627666
"134","ZFYVE16",-0.0542200280281224,0.993593399293976
"133","HEXB",-0.0544023779070489,0.99365465627666
"132","CETN3",-0.0576510451848108,0.99402624482167
"131","PPP2CA",-0.0625453779108862,0.967486156001575
"130","SQSTM1",-0.0655053584721812,0.827814959981276
"129","TNIP1",-0.0664962547269035,0.857679378049987
"128","SAR1B",-0.0673040497618645,0.967486156001575
"127","NDUFA2",-0.0681637386406743,0.881449409325343
"126","HSPA4",-0.0682526053108336,0.959840776398792
"125","SPARC",-0.0691584435229534,0.871834171138614
"124","BTF3",-0.0696021034352033,0.981043289080039
"123","ANKHD1",-0.0742125198132153,0.881449409325343
"122","SREK1",-0.0811932811265312,0.99948057921364
"121","NDUFAF2",-0.0817743200381126,0.965519093215168
"120","PRRC1",-0.0820397033332728,0.966957304206526
"119","SNX24",-0.0827176892632794,0.947028118513763
"118","GM2A",-0.0845164392179108,0.857679378049987
"117","ATOX1",-0.0845754623226936,0.871916003399671
"116","GPX8",-0.0853881848454966,0.949614681487224
"115","RARS",-0.0883716161146583,0.796327902710766
"114","PCYOX1L",-0.0886219918660993,0.918175543371172
"113","KIF3A",-0.0913920197299155,0.959840776398792
"112","MTX3",-0.0961505589546978,0.993593399293976
"111","ALDH7A1",-0.0961515307507742,0.946855442565866
"110","RAPGEF6",-0.0972785812395763,0.967539663002582
"109","UBE2B",-0.0979116605795261,0.967486156001575
"108","HNRNPA0",-0.103658537237022,0.897756509092039
"107","OCLN",-0.104894957717817,0.974652670483882
"106","ERBB2IP",-0.104983456551607,0.99948057921364
"105","ARSB",-0.106019578281652,0.993593399293976
"104","CAST",-0.108696360040207,0.97509662175644
"103","TAF7",-0.114298153797493,0.881449409325343
"102","CLINT1",-0.11544846642419,0.849882637137035
"101","PANK3",-0.11586801891306,0.796327902710766
"100","VDAC1",-0.116857409085486,0.967486156001575
"99","ERAP2",-0.119042611844938,0.975091842405404
"98","WDR55",-0.120323424844558,0.881449409325343
"97","HARS2",-0.120495618149503,0.881449409325343
"96","LOX",-0.12280179926634,0.947028118513763
"95","TNPO1",-0.125325916759477,0.981043289080039
"94","PPIP5K2",-0.125980045264909,0.990369583796234
"93","SLC12A2",-0.126011573259741,0.961518873164201
"92","CLTB",-0.12830859010284,0.782386832195682
"91","AP3S1",-0.128852852387662,0.972097146327199
"90","CDC23",-0.134398426591915,0.897756509092039
"89","DHX29",-0.138581277726874,0.949614681487224
"88","FBN2",-0.140400497423173,0.966953548495209
"87","FAF2",-0.14174977297087,0.782386832195682
"86","SRA1",-0.142312709708666,0.881449409325343
"85","NUDCD2",-0.1426027171949,0.874041601931039
"84","UIMC1",-0.143595390480224,0.778177816934083
"83","ZNF346",-0.143911434302297,0.778177816934083
"82","CD14",-0.15129251442439,0.881449409325343
"81","CANX",-0.156236898892019,0.826989639858884
"80","UQCRQ",-0.162009195348465,0.959840776398792
"79","C5orf24",-0.164984485785016,0.953009860326552
"78","ANKRA2",-0.16504685888214,0.981043289080039
"77","REEP5",-0.171080391072412,0.951443754056537
"76","ISOC1",-0.174801660071054,0.951590937228781
"75","ATG12",-0.180568065732576,0.972097146327199
"74","RAB3C",-0.181340003396395,0.985782608733736
"73","NR3C1",-0.188384207845182,0.884359828451467
"72","PDLIM4",-0.18990155857969,0.967532142113366
"71","AP3B1",-0.191694093844321,0.993593399293976
"70","ABLIM3",-0.192062246088203,0.918175543371172
"69","COMMD10",-0.192623841552959,0.972097146327199
"68","COL4A3BP",-0.194874426148383,0.99365465627666
"67","H2AFY",-0.197254968755695,0.920710005563002
"66","FGF1",-0.200693366553686,0.884359828451467
"65","YTHDC2",-0.20083444852524,0.963561809842194
"64","KCTD16",-0.203150572718521,0.884404505261644
"63","CYFIP2",-0.203884209683862,0.849882637137035
"62","LMAN2",-0.204927068577296,0.782627208480441
"61","DPYSL3",-0.206471819798027,0.93126102602779
"60","PDLIM7",-0.210154696930626,0.768973828692267
"59","ITGA1",-0.215576641320238,0.794987020528096
"58","SYNPO",-0.220168150279002,0.918175543371172
"57","PDGFRB",-0.220277368134188,0.918175543371172
"56","TMEM173",-0.223069261038249,0.864510661279815
"55","CAMK2A",-0.223330625126631,0.918175543371172
"54","HINT1",-0.223510810112938,0.972593703074031
"53","VCAN",-0.226370196352146,0.994037692601899
"52","CSF1R",-0.226422980092237,0.918175543371172
"51","RASA1",-0.227436572874247,0.994037692601899
"50","SAP30L",-0.229945693031063,0.833972170513626
"49","THG1L",-0.231447455752584,0.849882637137035
"48","DMXL1",-0.231797718518323,0.967033144426542
"47","LNPEP",-0.233772148104061,0.961952479860804
"46","PCDH1",-0.234426105761602,0.884578487584681
"45","RAB24",-0.234981090883482,0.782627208480441
"44","SFXN1",-0.23797025136246,0.781481360562946
"43","TTC37",-0.242978068615421,0.993979170402853
"42","MRPS36",-0.245788306542802,1
"41","F12",-0.245909554961286,0.768973828692267
"40","SCAMP1",-0.247462150002379,0.993593399293976
"39","TRIM23",-0.248151030914734,0.99948057921364
"38","PJA2",-0.252191130871563,0.97972921452279
"37","SKP1",-0.253893382169915,0.967486156001575
"36","ARHGEF37",-0.254709798942345,0.918175543371172
"35","MAN2A1",-0.264167997263747,0.97972921452279
"34","GLRX",-0.273541554187234,0.993995767243448
"33","DCTN4",-0.27407325220782,0.8937942481658
"32","SGCD",-0.28256076317866,0.862483336884558
"31","SNX18",-0.28344602129956,0.942081448438308
"30","CDKN2AIPNL",-0.28410988841438,0.967486156001575
"29","MAST4",-0.290987614157564,0.968430989672056
"28","FER",-0.293944033225415,0.979730027541261
"27","UBLCP1",-0.295851260268083,0.872725822656162
"26","FCHO2",-0.29639695081523,0.981043289080039
"25","RUFY1",-0.29656958083192,0.827134767243821
"24","IQGAP2",-0.298269863310673,0.993593399293976
"23","PGGT1B",-0.302581311199147,0.971979978584779
"22","PCBD2",-0.303163967112268,0.953009860326552
"21","GNPDA1",-0.304451992985988,0.884578487584681
"20","IL6ST",-0.3075009818104,0.960564447599986
"19","SNX2",-0.310591376660671,0.947028118513763
"18","RAD50",-0.315152345015405,0.959840776398792
"17","KIAA1191",-0.318553216375821,0.782386832195682
"16","THBS4",-0.325440779528206,0.993593399293976
"15","GPX3",-0.328470644918457,0.857679378049987
"14","PPP2R2B",-0.330392273644691,0.93126102602779
"13","MCC",-0.33360956486674,0.963561809842194
"12","ANXA6",-0.334995824458932,0.857679378049987
"11","DTWD2",-0.348708132738931,0.967033144426542
"10","TMED7",-0.355009990885892,0.972097146327199
"9","FAM114A2",-0.355476470644071,0.857280504615548
"8","NUDT12",-0.360825747076089,0.990369583796234
"7","MAT2B",-0.363018599451654,0.874041601931039
"6","FBXO38",-0.374897621864859,0.918089043964093
"5","TBC1D9B",-0.375139845000158,0.827814959981276
"4","MCCC2",-0.397963115793388,0.978804382380672
"3","MAPK9",-0.4151327604992,0.826494672634606
"2","FAM172A",-0.418968469940552,0.969350920622618
"1","PURA",-0.459535385684287,0.864510661279815
