,gene.r,gene.c,Protein_value,RNA_value
1,C1orf112,ABCA8,-1,0.000619748
2,C1orf228,ABCA8,-1,0.116876965
3,AKIRIN2,ABCG5,-1,0.127630215
4,CD247,ADAM12,-1,0.13807712
5,ARMC2,ADCY9,-1,-0.004765969
6,C12orf65,AIM1L,-1,0.106302913
7,ABCG5,AKIRIN2,-1,0.127630215
8,CD177,ALG6,-1,-0.250233843
9,B4GALNT4,AMDHD1,-1,-0.018931621
10,CD247,AMN1,-1,-0.152456773
11,ADCY9,ARMC2,-1,-0.004765969
12,CAV2,ATP10A,-1,0.400525953
13,AMDHD1,B4GALNT4,-1,-0.018931621
14,AIM1L,C12orf65,-1,0.106302913
15,CACNA1I,C16orf87,-1,-0.257637542
16,CACNA1I,C18orf21,-1,-0.188970677
17,ABCA8,C1orf112,-1,0.000619748
18,ABCA8,C1orf228,-1,0.116876965
19,CCDC126,C1orf56,-1,0.319606924
20,C16orf87,CACNA1I,-1,-0.257637542
21,C18orf21,CACNA1I,-1,-0.188970677
22,ATP10A,CAV2,-1,0.400525953
23,CBLC,CAV2,-1,0.046112573
24,CCDC40,CAV2,-1,-0.431835951
25,CAV2,CBLC,-1,0.046112573
26,C1orf56,CCDC126,-1,0.319606924
27,CAV2,CCDC40,-1,-0.431835951
28,ALG6,CD177,-1,-0.250233843
29,ADAM12,CD247,-1,0.13807712
30,AMN1,CD247,-1,-0.152456773